run_id,response
73,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
73,"{""instructions2"":""One""}"
73,"{""instructions4"":""Think about what will happen next.""}"
69,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
69,"{""instructions2"":""One square per time step.""}"
69,"{""instructions4"":""Think about what will happen next.""}"
8,"{""instructions1"":""Collect water from a water source and bring it back to wooden storage buckets. The faster a person collects the water the more points they'll receive""}"
8,"{""instructions2"":""1""}"
8,"{""instructions4"":""think carefully""}"
9,"{""instructions1"":""to quickly collect buckets of water and bring to the storage buckets""}"
9,"{""instructions2"":""1""}"
9,"{""instructions4"":""think carefully about what will happen next""}"
14,"{""instructions1"":""to collect the bucket of water and bring it back to the wooden storage buckets""}"
14,"{""instructions2"":""one""}"
14,"{""instructions4"":""think carefully before making judgments""}"
25,"{""instructions1"":""to collect buckets of water""}"
25,"{""instructions2"":""one""}"
25,"{""instructions4"":""think about what will happen next""}"
35,"{""instructions1"":""To collect water from a water source and take it back to the wooden storage buckets.""}"
35,"{""instructions2"":""one""}"
35,"{""instructions4"":""Think about what will happen next""}"
34,"{""instructions1"":""to collect water and bring it back to the storage buckets.""}"
34,"{""instructions2"":""1""}"
34,"{""instructions4"":""think carefully""}"
44,"{""instructions1"":""collect water from a water source""}"
44,"{""instructions2"":""1""}"
44,"{""instructions4"":""shortly after the character makes a decision to leave or stay in the line""}"
42,"{""instructions1"":""collect water""}"
42,"{""instructions2"":""1""}"
42,"{""instructions4"":""what will happen next""}"
46,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
46,"{""instructions2"":""1""}"
46,"{""instructions4"":""Think about what will happen next. ""}"
66,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets. ""}"
66,"{""instructions2"":""1""}"
66,"{""instructions4"":""Think about what will happen next as a result. ""}"
7,"{""instructions1"":""to collect water to put in the water storage bucket""}"
7,"{""instructions2"":""one""}"
7,"{""instructions4"":""think about what will happen next""}"
76,"{""instructions1"":""collect one bucket of water for each level as fast as possible""}"
76,"{""instructions2"":""1""}"
76,"{""instructions4"":""think what will happen next""}"
75,"{""instructions1"":""to collect water from a water source and bring it back to the wooden storage buckets.""}"
75,"{""instructions2"":""1""}"
75,"{""instructions4"":""to think about what will happen next as a result""}"
72,"{""instructions1"":""collect water in a bucket""}"
72,"{""instructions2"":""1""}"
72,"{""instructions4"":""think carefully""}"
